grCode	en	abbreviation	el	otherName
11.01.01.01.001	5'-Nucleotidase	NTP	5-ΝΟΥΚΛΕΟΤΙΔΑΣΗ	
11.01.01.02.001	Acid Phosphatase	ACP	ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ	
11.01.01.03.001	Alanine Amino-Transferase	ALT/SGPT	ΑΜΙΝΟΤΡΑΝΣΦΕΡΑΣΗ ΑΛΑΝΙΝΗΣ	
11.01.01.04.001	Aldolase	ALS	ΑΛΔΟΛΑΣΗ	
11.01.01.05.001	Alkaline Phosphatase - Total	ALP/AP	ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ	
11.01.01.06.001	Alkaline Phosphatase Isoenzymes	iso-AP	ΙΣΟΕΝΖΥΜΑ ΑΛΚΑΛΙΚΗΣ ΦΩΣΦΑΤΑΣΗΣ	
11.01.01.07.001	Amylase - Total	AMS/AMY	α-ΑΜΥΛΑΣΗ	ΟΛΙΚΗ ΑΜΥΛΑΣΗ (ΟΡΟΥ ΟΥΡΩΝ)
11.01.01.08.001	Amylase Isoenzyme	iso-AMS	ΠΑΓΚΡΕΑΤΙΚΗ ΑΜΥΛΑΣΗ (ΙΣΟΕΝΖΥΜΟ)	
11.01.01.10.001	Aspartate Amino-Transferase	AST/SGOT	ΑΣΠΑΡΤΙΚΗ ΑΜΙΝΟΤΡΑΝΣΦΕΡΑΣΗ	
11.01.01.11.001	Cholinesterase	CHE	ΨΕΥΔΟΧΟΛΙΝΕΣΤΕΡΑΣΗ	
11.01.01.12.001	Chymotrypsin		ΧΥΜΟΘΡΥΨΙΝΗ	
11.01.01.13.001	Creatine Kinase - Total	CK	ΚΡΕΑΤΙΝΙΚΗ ΚΙΝΑΣΗ	CPK
11.01.01.14.001	Creatine Kinase - MB Activity	CK-MB	ΚΡΕΑΤΙΝΙΚΗ ΚΙΝΑΣΗ-ΜΒ (ΕΝΕΡΓΟΤΗΤΑ)	CPK-MB
11.01.01.15.001	Creatine Kinase Isoenzymes	iso-CK	ΙΣΟΕΝΖΥΜΑ ΚΡΕΑΤΙΝΙΚΗΣ ΚΙΝΑΣΗΣ	
11.01.01.16.001	Gamma Glutamyltransferase	γ-GT	γ-ΓΛΟΥΤΑΜΥΛΟΤΡΑΝΣΦΕΡΑΣΗ	
11.01.01.17.001	Glutamate Dehydrogenase	GLDH	ΓΛΟΥΤΑΜΙΝΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ	
11.01.01.18.001	Hydroxybutyrate Dehydrogenase	HBDH	Α-ΥΔΡΟΞΥΒΟΥΤΥΡΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ	
11.01.01.19.001	Lactate Dehydrogenase	LDH	ΓΑΛΑΚΤΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ	
11.01.01.21.001	Lactate Dehydrogenase Isoenzymes	iso-LDH	ΙΣΟΕΝΖΥΜΑ ΓΑΛΑΚΤΙΚΗΣ ΑΦΥΔΡΟΓΟΝΑΣΗΣ	
11.01.01.22.001	Leucine Aminopeptidase	LAP	ΑΜΙΝΟΠΕΠΤΙΔΑΣΗ ΤΗΣ ΛΕΥΚΙΝΗΣ	
11.01.01.23.001	Lipase	LPS	ΛΙΠΑΣΗ	
11.01.01.24.001	Lysozyme		ΛΥΣΟΖΥΜΗ	
11.01.01.25.001	Malate Dehydrogenase	MDH	ΑΦΥΔΡΟΓΟΝΑΣΗ ΤΟΥ ΜΗΛΙΚΟΥ ΟΞΕΟΣ	
11.01.01.26.001	N-acetyl-b,D-Glucosaminidase	b-NAG	Ν-ΑΚΕΤΥΛΟ-Β,D-ΓΛΥΚΟΣΑΜΙΝΙΔΑΣΗ	
11.01.01.30.001	Acid-beta-glucosidase		ΟΞΙΝΗ Β-ΓΛΥΚΟΣΙΔΑΣΗ	ΓΛΥΚΟΣΕΡΕΒΡΟΣΙΔΑΣΗ
11.01.01.31.001	Acid Sphingomyelinase		ΟΞΙΝΗ ΣΦΥΓΓΟΜΥΕΛΙΝΑΣΗ	
11.01.01.32.001	Chitotriosidase		ΧΙΤΟΤΡΙΟΣΙΔΑΣΗ	
11.01.01.90.900	Other enzymes		ΑΛΛΑ ΕΝΖΥΜΑ	
11.02.01.01.001	Albumin		ΑΛΒΟΥΜΙΝΗ	
11.02.01.02.001	Bile acids		ΧΟΛΙΚΑ ΑΛΑΤΑ	
11.02.01.03.001	Bilirubin Total	TBIL	ΟΛΙΚΗ ΧΟΛΕΡΥΘΡΙΝΗ	
11.02.01.03.002	Bilirubin Direct	DBIL	ΑΜΕΣΗ ΧΟΛΕΡΥΘΡΙΝΗ	
11.02.01.03.003	Bilirubin Indirect		ΕΜΜΕΣΗ ΧΟΛΕΡΥΘΡΙΝΗ	
11.02.01.04.001	Urea/Blood Urea Nitrogen	UREA	ΟΥΡΙΑ	ΠΑΛΑΙΟΤΕΡΗ ΟΝΟΜΑΣΙΑ: BUN
11.02.01.04.002	Urea crearance		ΚΑΘΑΡΣΗ ΟΥΡΙΑΣ	
11.02.01.05.001	Cholesterol	CHOL	ΧΟΛΗΣΤΕΡΟΛΗ	ΟΛΙΚΗ ΧΟΛΗΣΤΕΡΟΛΗ
11.02.01.06.001	Copper	Cu	ΧΑΛΚΟΣ	
11.02.01.07.001	Creatinine	CREAT	ΚΡΕΑΤΙΝΙΝΗ	
11.02.01.07.002	Creatinine clearance		ΚΑΘΑΡΣΗ ΚΡΕΑΤΙΝΙΝΗΣ	
11.02.01.08.001	D-Xylose		D-ΞΥΛΟΖΗ	
11.02.01.10.001	Fructosamine		ΦΡΟΥΚΤΟΖΑΜΙΝΗ	
11.02.01.11.001	Fructose		ΦΡΟΥΚΤΟΖΗ	
11.02.01.12.001	Galactose		ΓΑΛΑΚΤΟΖΗ	
11.02.01.13.001	Glucose	GLU	ΓΛΥΚΟΖΗ	ΣΑΚΧΑΡΟ
11.02.01.14.001	Glycosylated/Glycated Haemoglobin	HbA1c	ΓΛΥΚΟΖΥΛΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ	ΓΛΥΚΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ
11.02.01.15.001	High Density Lipoprotein Cholesterol	HDL	HDL-ΧΟΛΗΣΤΕΡΟΛΗ	ΛΙΠΟΠΡΩΤΕΙΝΗ ΥΨΗΛΗΣ ΠΥΚΝΟΤΗΤΑΣ
11.02.01.15.002	Atherogenic index		ΑΘΗΡΩΜΑΤΙΚΟΣ ΔΕΙΚΤΗΣ	
11.02.01.16.001	Iron	Fe	ΣΙΔΗΡΟΣ	
11.02.01.17.001	Iron Binding Capacity - Total	TIBC	ΟΛΙΚΗ ΣΙΔΗΡΟΔΕΣΜΕΥΤΙΚΗ ΙΚΑΝΟΤΗΤΑ	
11.02.01.17.002	Iron Binding Capacity - unsaturated	UIBC	ΑΚΟΡΕΣΤΗ ΣΙΔΗΡΟΔΕΣΜΕΥΤΙΚΗ ΙΚΑΝΟΤΗΤΑ	
11.02.01.18.001	Lactate		ΓΑΛΑΚΤΚΟ ΟΞΥ	
11.02.01.19.001	Lecithin		ΛΕΚΙΘΙΝΗ	
11.02.01.21.001	Low Density Lipoprotein Cholesterol	LDL	LDL-ΧΟΛΗΣΤΕΡΟΛΗ	ΛΙΠΟΠΡΩΤΕΙΝΗ ΧΑΜΗΛΗΣ ΠΥΚΝΟΤΗΤΑΣ
11.02.01.21.002	Low Density Lipoprotein Cholesterol (Calculated)	LDL (Calc)	LDL-ΧΟΛΗΣΤΕΡΟΛΗ (ΥΠΟΛΟΓΙΣΤΙΚΑ)	
11.02.01.21.003	Very Low Density Lipoprotein Cholesterol	VLDL	VLDL-ΧΟΛΗΣΤΕΡΟΛΗ	
11.02.01.22.001	Non Esterified Fatty Acids	NEFA	ΜΗ ΕΣΤΕΡΟΠΟΙΗΜΕΝΑ ΛΙΠΑΡΑ ΟΞΕΑ	
11.02.01.23.001	Oxalate		ΟΞΑΛΙΚΟ ΟΞΥ	
11.02.01.24.001	Phospholipids		ΦΩΣΦΟΛΙΠΙΔΙΑ	
11.02.01.25.001	Porphobilinogen		ΠΟΡΦΟΧΟΛΕΡΥΘΡΙΝΟΓΟΝΟ	
11.02.01.26.001	Pyruvate		ΠΥΡΟΣΤΑΦΥΛΙΚΟ ΟΞΥ	
11.02.01.27.001	Thymol		ΘΥΜΟΛΗ	
11.02.01.28.001	Total Lipids		ΟΛΙΚΑ ΛΙΠΙΔΙΑ	
11.02.01.29.001	Total Porphyrine		ΟΛΙΚΕΣ ΠΟΡΦΥΡΙΝΕΣ	
11.02.01.30.001	Total Protein		ΟΛΙΚΑ ΛΕΥΚΩΜΑΤΑ	
11.02.01.30.002	Serum Globulins		ΣΦΑΙΡΙΝΕΣ ΟΡΟΥ	
11.02.01.30.003	Albumin/Globulins ratio	A/G ratio	ΛΟΓΟΣ ΑΛΒΟΥΜΙΝΗΣ/ΣΦΑΙΡΙΝΩΝ	ΛΕΥΚΩΜΑΤΙΚΟ ΠΗΛΙΚΟ
11.02.01.31.001	Triglycerides		ΤΡΙΓΛΥΚΕΡΙΔΙΑ	
11.02.01.32.001	Uric Acid		ΟΥΡΙΚΟ ΟΞΥ	
11.02.01.33.001	Zinc		ΨΕΥΔΑΡΓΥΡΟΣ	
11.02.01.34.001	Lipoprotein Electroporesis		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΛΙΠΟΠΡΩΤΕΙΝΩΝ	
11.02.01.35.001	Protein Electroporesis		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΛΕΥΚΩΜΑΤΩΝ	
11.02.01.36.001	Serum osmolality		ΩΣΜΩΤΙΚΟΤΗΤΑ ΟΡΟΥ	
11.02.01.90.900	Other Substrates		ΑΛΛΑ ΥΠΟΣΤΡΩΜΑΤΑ	
11.03.01.01.001	Ammonia	NH3	ΑΜΜΩΝΙΑ	
11.03.01.03.001	Calcium	Ca	ΑΣΒΕΣΤΙΟ	
11.03.01.07.001	Magnesium	Mg	ΜΑΓΝΗΣΙΟ	
11.03.01.08.001	Phosphate inorganic / Phosphorus	P	ΑΝΟΡΓΑΝΟΣ ΦΩΣΦΟΡΟΣ	
11.03.01.90.900	Other Electrolytes tests (excluding Electrodes)		ΑΛΛΟΙ ΗΛΕΚΤΡΟΛΥΤΕΣ (ΧΩΡΙΣ ΗΛΕΚΤΡΟΔΙΑ)	
11.04.01.02.001	Calcium - Electrodes	Ca (electrode)	ΑΣΒΕΣΤΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.02.002	Calcium ionized - Electrodes	Ca++	ΙΟΝΙΣΜΕΝΟ ΑΣΒΕΣΤΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	iCa
11.04.01.03.001	Chloride - Electrodes	Cl	ΧΛΩΡΙΟΥΧΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.04.001	Lithium - Electrodes	Li	ΛΙΘΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.05.001	Magnesium - Electrodes	Mg (electrode)	ΜΑΓΝΗΣΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.05.002	Magnesium - Electrodes	Mg++	ΙΟΝΙΣΜΕΝΟ ΜΑΓΝΗΣΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.06.001	Potassium - Electrodes	K	ΚΑΛΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.07.001	Sodium - Electrodes	Na	ΝΑΤΡΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.08.001	Carbon Dioxide (Bicarbonate) - Electrodes	HCO3	ΔΙΤΤΑΝΘΡΑΚΙΚΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.01.90.900	Other Electrolyte Electrodes		ΑΛΛΟΙ ΗΛΕΚΤΡΟΛΥΤΕΣ (ΜΕ ΗΛΕΚΤΡΟΔΙΑ)	
11.04.03.01.001	Creatinine - Electrodes	CREAT (electrode)	ΚΡΕΑΤΙΝΙΝΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.03.02.001	Glucose - Electrodes	GLU (electrode)	ΓΛΥΚΟΖΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.03.04.001	Lactate - Electrodes		ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.03.05.001	Urea - Electrodes	UREA (electrode)	ΟΥΡΙΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.03.06.001	Bilirubin - Electrodes	TBIL (electrode)	ΟΛΙΚΗ ΧΟΛΕΡΥΘΡΙΝΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ)	
11.04.03.90.900	Other Substrate Electrodes / Biosensors		ΑΛΛΑ ΥΠΟΣΤΡΩΜΑΤΑ (ΜΕ ΗΛΕΚΤΡΟΔΙΑ Η ΒΙΟΑΙΣΘΗΤΗΡΕΣ)	
11.05.01.01.001	Aluminium	Al	ΑΡΓΙΛΙΟ	
11.05.01.02.001	Arsenate	As	ΑΡΣΕΝΙΚΟ	
11.05.01.03.001	Kadmium	Cd	ΚΑΔΜΙΟ	
11.05.01.04.001	MANGANESE	Mn	ΜΑΓΓΑΝΙΟ	
11.05.01.05.001	LEAD	Pb	ΜΟΛΥΒΔΟΣ	
11.05.01.06.001	NICKEL	Ni	ΝΙΚΕΛΙΟ	
11.05.01.07.001	SELENIUM	Se	ΣΕΛΙΝΙΟ	
11.05.01.08.001	MERCURY	Hg	ΥΔΡΑΡΓΥΡΟΣ	
11.05.01.09.001	CHROMIUM	Cr	ΧΡΩΜΙΟ	
11.05.01.90.900	Other Trace elements		ΑΛΛΑ ΙΧΝΟΣΤΟΙΧΕΙΑ	
11.70.01.01.001	Glucose Test Strips		ΓΛΥΚΟΖΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	ΣΑΚΧΑΡΟ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)
11.70.01.02.001	Cholesterol Test Strips		ΧΟΛΗΣΤΕΡΟΛΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.03.001	HDL Test Strips		HDL (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.04.001	Lactate Test Strips		ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.05.001	Triglyceride Test Strips		ΤΡΙΓΛΥΚΕΡΙΔΙΑ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.06.001	Urea Test Strips		ΟΥΡΙΑ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.07.001	HbA1c Test Strips		ΓΛΥΚΟΖΥΛΙΩΜΕΝΗ/ΓΛΥΚΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.08.001	Ketone Test Strips		ΚΕΤΟΝΕΣ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ)	
11.70.01.90.900	Other Blood Test Strips		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΑΙΜΑΤΟΣ ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ	
11.70.02.01.001	Urine Single Test Strips (incl. tablets)		ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΤΑΙΝΙΕΣ ΜΙΑΣ ΠΑΡΑΜΕΤΡΟΥ (ΣΑΚΧΑΡΟ, ΚΕΤΟΝΕΣ, ΛΕΥΚΩΜΑ)	
11.70.02.02.001	Urine Multi-constituent Test Strips (manual)		ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΠΟΛΥΠΑΡΑΜΕΤΡΙΚΕΣ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ (ΜΗ ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ)	
11.70.02.03.001	Urine Multi-constituent Test Strips (automated)		ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΠΟΛΥΠΑΡΑΜΕΤΡΙΚΕΣ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ (ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ)	
11.70.02.10.001	Urine SedimentTest Kit (manual)		ΑΝΑΛΥΣΗ ΙΖΗΜΑΤΟΣ ΟΥΡΩΝ (ΜΗ ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ)	
11.70.02.11.001	Urine Sediment Test Kit (automated)		ΑΝΑΛΥΣΗ ΙΖΗΜΑΤΟΣ ΟΥΡΩΝ (ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ)	
11.70.02.20.001	Urinary stone analysis		ΑΝΑΛΥΣΗ ΟΥΡΟΛΙΘΩΝ	
11.70.02.21.001	Urine osmolality		ΩΣΜΩΤΙΚΟΤΗΤΑ ΟΥΡΩΝ	
11.70.02.90.900	Other Urine Testing		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΟΥΡΩΝ	
11.70.03.01.001	Faecal Occult Blood	FOB	ΑΝΙΧΝΕΥΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΣΤΑ ΚΟΠΡΑΝΑ	MAYER ΚΟΠΡΑΝΩΝ
11.70.03.02.001	Albumin in stool (Meconium)		ΑΝΙΧΝΕΥΣΗ ΑΛΒΟΥΜΙΝΗΣ ΣΤΑ ΚΟΠΡΑΝΑ	
11.70.03.90.900	Other Faeces Tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΚΟΠΡΑΝΩΝ	
11.70.31.01.001	Carbon Dioxide - Electrodes	pCO2	ΔΙΟΞΕΙΔΙΟ ΤΟΥ ΑΝΘΡΑΚΑ (ΜΕΡΙΚΗ ΠΙΕΣΗ)	
11.70.31.02.001	pH - Electrodes	pH	PH (ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ)	
11.70.31.03.001	Oxygen - Electrodes	pO2	ΟΞΥΓΟΝΟ (ΜΕΡΙΚΗ ΠΙΕΣΗ)	
11.70.31.04.001	Lactate - Electrodes		ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ, POCT)	
11.70.31.05.001	Urea - Electrodes		ΟΥΡΙΑ (ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ, POCT)	
11.70.31.90.900	Other Point of Care Testing (POCT)		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ (POCT)	
11.90.90.90.900	Other Other Clinical Chemistry tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΚΛΙΝΙΚΗΣ ΧΗΜΕΙΑΣ-ΒΙΟΧΗΜΕΙΑΣ ΠΟΥ ΔΕΝ ΑΝΑΦΕΡΟΝΤΑΙ ΑΛΛΟΥ	
12.01.03.01.001	uAlbumin		ΑΛΒΟΥΜΙΝΗ ΟΥΡΩΝ	ΛΕΥΚΩΜΑΤΙΝΗ ΟΥΡΩΝ
12.01.03.01.002	Urine Protein/CSF		ΛΕΥΚΩΜΑ ΟΥΡΩΝ/ΕΝΥ	
12.01.03.02.001	Ceruloplasmin		ΣΕΡΟΥΛΟΠΛΑΣΜΙΝΗ	
12.01.03.03.001	Haptoglobin		ΑΠΤΟΣΦΑΙΡΙΝΗ	
12.01.03.04.001	Hemopexin		ΑΙΜΟΠΗΞΙΝΗ	
12.01.03.05.001	Lactoferrin		ΛΑΚΤΟΦΕΡΡΙΝΗ	
12.01.03.06.001	Pre-albumin / Transthyretin		ΤΡΑΝΣΘΥΡΕΤΙΝΗ	ΠΡΟΑΛΒΟΥΜΙΝΗ
12.01.03.07.001	Retinol Binding Protein	RBP	ΠΡΩΤΕΙΝΗ ΔΕΣΜΕΥΟΥΣΑ ΤΗΝ ΡΕΤΙΝΟΛΗ	
12.01.03.08.001	Transferrin		ΤΡΑΝΣΦΕΡΡΙΝΗ	ΣΙΔΗΡΟΦΙΛΙΝΗ
12.01.03.08.002	Transferrin saturation		ΚΟΡΕΣΜΟΣ ΤΡΑΝΣΦΕΡΡΙΝΗΣ	
12.01.03.09.001	Transcobalamin (S)		ΤΡΑΝΣΚΟΒΑΛΑΜΙΝΗ	
12.01.03.90.900	Other Transport Proteins		ΑΛΛΕΣ ΠΡΩΤΕΙΝΕΣ ΜΕΤΑΦΟΡΑΣ	
12.01.04.01.001	Apolipoprotein A I	Apo A I	ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗ Α Ι	
12.01.04.02.001	Apolipoprotein A II	Apo A II	ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗ Α ΙΙ	
12.01.04.03.001	Apolipoprotein B	Apo B	ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗ Β	
12.01.04.03.002	Apolipoprotein B to Apolipoprotein A Ι Ratio	Apo B/Apo AI	ΛΟΓΟΣ ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗΣ Β/ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗ Α Ι	
12.01.04.11.001	Apolipoprotein E	Apo E	ΑΠΟΛΙΠΟΠΡΩΤΕΙΝΗ Ε	
12.01.04.21.001	Lipoprotein (a)	LP(a)	ΛΙΠΟΠΡΩΤΕΙΝΗ (a)	
12.01.04.90.900	Other Lipoproteins		ΑΛΛΕΣ ΛΙΠΟΠΡΩΤΕΙΝΕΣ	
12.01.90.01.001	a1-Acid Glycoprotein (Orosomucoid )	AGP	α1 ΟΞΙΝΗ ΓΛΥΚΟΠΡΩΤΕΙΝΗ	
12.01.90.02.001	a1-Antitrypsin (Protease inhibitor )	AAT	α1-ΑΝΤΙΘΡΥΨΙΝΗ	
12.01.90.03.001	a2-Macroglobulin	A2M	α2-ΜΑΚΡΟΣΦΑΙΡΙΝΗ	
12.01.90.04.001	a1-Microglobulin	A1M	α1-ΜΙΚΡΟΣΦΑΙΡΙΝΗ	
12.01.90.05.001	Fibronectin		ΙΝΩΔΟΝΕΚΤΙΝΗ	ΦΙΒΡΟΝΕΚΤΙΝΗ
12.01.90.09.001	Cystatin C		ΚΥΣΤΑΤΙΝΗ C	ΣΥΣΤΑΤΙΝΗ C
12.01.90.10.001	Amyloid A		ΑΜΥΛΟΕΙΔΕΣ Α	
12.01.90.90.900	Other Proteins		ΑΛΛΕΣ ΠΡΩΤΕΙΝΕΣ	
12.03.01.01.001	Bladder Tissue Antigen	BTA	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΕΩΣ	
12.03.01.02.001	Cancer Antigen 15-3	CA 15-3	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ 15-3	
12.03.01.03.001	Cancer Antigen 19-9	CA 19-9	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ 19-9	
12.03.01.04.001	Cancer Antigen 50	CA 50	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ 50	
12.03.01.05.001	Cancer Antigen 72-4	CA 72-4	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ 72-4	
12.03.01.06.001	Cancer Antigen 125	CA 125	ΚΑΡΚΙΝΙΚΟ ΑΝΤΙΓΟΝΟ 125	
12.03.01.20.001	CYFRA 21-1	CYFRA 21-1	ΚΥΤΤΑΡΟΚΕΡΑΤΙΝΗ 19 (CK 19)	
12.03.01.21.001	Human Epididymis Protein 4	HE-4	ΠΡΩΤΕΙΝΗ 4 ΤΗΣ ΑΝΘΡΩΠΙΝΗΣ ΕΠΙΔΙΔΥΜΙΔΟΣ	
12.03.01.31.001	Carcinoembryonic Antigen	CEA	ΚΑΡΚΙΝΟΕΜΒΡΥΙΚΟ ΑΝΤΙΓΟΝΟ	
12.03.01.32.001	Total Prostatic Specific Antigen	tPSA	ΟΛΙΚΟ ΕΙΔΙΚΟ ΠΡΟΣΤΑΤΙΚΟ ΑΝΤΙΓΟΝΟ	
12.03.01.33.001	Free Prostatic Specific Antigen	fPSA	ΕΛΕΥΘΕΡΟ ΕΙΔΙΚΟ ΠΡΟΣΤΑΤΙΚΟ ΑΝΤΙΓΟΝΟ	
12.03.01.33.002	Prostatic Specific Antigen ratio	PSA ratio	ΛΟΓΟΣ ΕΙΔΙΚΟΥ ΠΡΟΣΤΑΤΙΚΟΥ ΑΝΤΙΓΟΝΟΥ	ΛΟΓΟΣ PSA
12.03.01.35.001	Squamous Cell Carcinoma Antigen	SCC	ΑΝΤΙΓΟΝΟ ΕΚ ΚΑΡΚΙΝΩΜΑΤΟΣ ΠΛΑΚΩΔΩΝ ΚΥΤΤΑΡΩΝ	
12.03.01.36.001	Tumor Polypeptide Antigen (TPA - incl. TPS)	TPA	ΠΟΛΥΠΕΠΤΙΔΙΚΟ ΑΝΤΙΓΟΝΟ ΙΣΤΩΝ (ΚΥΤΤΑΡΟΚΕΡΑΤΙΝΕΣ CK8,18,19)	
12.03.01.37.001	Prostatic Acid Phosphatase	PAP	ΟΞΙΝΗ ΠΡΟΣΤΑΤΙΚΗ ΦΩΣΦΑΤΑΣΗ (ΜΑΖΑ)	
12.03.01.38.001	Pro-Gastrin-Releasing Peptide	Pro-GRP	ΠΕΠΤΙΔΙΟ ΑΠΕΛΕΥΘΕΡΩΣΗΣ ΠΡΟ-ΓΑΣΤΡΙΝΗΣ	
12.03.01.90.900	Other Cancer Antigens		ΑΛΛΑ ΚΑΡΚΙΝΙΚΑ ΑΝΤΙΓΟΝΑ	
12.03.02.01.001	Estrogen Receptor Assays	ER	ΥΠΟΔΟΧΕΙΣ ΟΙΣΤΡΟΓΟΝΩΝ	
12.03.02.02.001	Progesterone Receptor Assays	PR	ΥΠΟΔΟΧΕΙΣ ΠΡΟΓΕΣΤΕΡΟΝΗΣ	
12.03.02.90.900	Other Receptor Assays		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΥΠΟΔΟΧΕΩΝ	
